id_coleta,produto,preco_bruto,loja_oferta,url,categoria
1,"Smart TV Mini LED 55"" TCL 4K 55C6K","R$ 3.279,00",Via Amazon,N/A,Smart TV
2,"Smart TV Mini LED 55"" TCL 4K 55C6K","R$ 3.279,00",Via Amazon,https://www.buscape.com.br/tv/smart-tv-mini-led-55-tcl-4k-55c6k?experiencevariant=cro-12-2&_lc=11,Smart TV
3,"Smart TV QD-Mini LED 65"" TCL 4K 65C6K","R$ 3.963,60",Via Webcontinental,N/A,Smart TV
4,"Smart TV QD-Mini LED 65"" TCL 4K 65C6K","R$ 3.963,60",Via Webcontinental,https://www.buscape.com.br/tv/smart-tv-qd-mini-led-65-tcl-4k-65c6k?experiencevariant=cro-12-2&_lc=11,Smart TV
5,"Smart TV LED 50"" LG 4K UA7500","R$ 2.230,41",Via Magazine Luiza,N/A,Smart TV
6,"Smart TV LED 50"" LG 4K UA7500","R$ 2.230,41",Via Magazine Luiza,https://www.buscape.com.br/tv/smart-tv-led-50-lg-4k-ua7500?experiencevariant=cro-12-2&_lc=11,Smart TV
7,"Smart TV QLED 50"" TCL 4K P7K","R$ 2.069,10",Via Magazine Luiza,N/A,Smart TV
8,"Smart TV QLED 50"" TCL 4K P7K","R$ 2.069,10",Via Magazine Luiza,https://www.buscape.com.br/tv/smart-tv-qled-50-tcl-4k-p7k?experiencevariant=cro-12-2&_lc=11,Smart TV
9,"Smart TV QD-Mini LED 75"" TCL 4K C6K","R$ 5.859,73",Via Magazine Luiza,N/A,Smart TV
10,"Smart TV QD-Mini LED 75"" TCL 4K C6K","R$ 5.859,73",Via Magazine Luiza,https://www.buscape.com.br/tv/smart-tv-qd-mini-led-75-tcl-4k-c6k?experiencevariant=cro-12-2&_lc=11,Smart TV
11,"Smart TV OLED 55"" Samsung 4K S90F","R$ 5.830,17",Via Magazine Luiza,N/A,Smart TV
