id_produto,marca,produto,preco,loja_oferta,url,categoria
1,TCL,"Smart TV Mini LED 55"" TCL 4K 55C6K",3279.0,Via Amazon,,Smart TV
2,TCL,"Smart TV QD-Mini LED 65"" TCL 4K 65C6K",3963.6,Via Webcontinental,,Smart TV
3,LG,"Smart TV LED 50"" LG 4K UA7500",2230.41,Via Magazine Luiza,,Smart TV
4,TCL,"Smart TV QLED 50"" TCL 4K P7K",2069.1,Via Magazine Luiza,,Smart TV
5,TCL,"Smart TV QD-Mini LED 75"" TCL 4K C6K",5859.73,Via Magazine Luiza,,Smart TV
6,Samsung,"Smart TV OLED 55"" Samsung 4K S90F",5830.17,Via Magazine Luiza,,Smart TV
7,Outras,Oferta do dia,2302.06,Via Magazine Luiza,,Smart TV
8,LG,"Smart TV OLED 55"" LG Evo 4K C5",6252.66,Via Loja Online LG,,Smart TV
9,TCL,"Smart TV QD-Mini LED 65"" TCL 4K C7K",5984.05,Via Magazine Luiza,,Smart TV
10,Samsung,"Smart TV LED 43"" Samsung Crystal 4K U8600F",2075.95,Via Magazine Luiza,,Smart TV
11,Outras,"Smart TV QLED 55"" Hisense 4K 55Q6QV",2198.0,Via Magazine Luiza,,Smart TV
12,Samsung,"Smart TV LED 50"" Samsung Crystal 4K HDR U8600F",2374.91,Via Magazine Luiza,,Smart TV
13,Samsung,"Smart TV LED 43"" Samsung Full HD HDR F6000F",1612.8,Via Magazine Luiza,,Smart TV
14,Philco,"Smart TV LED 32"" Philco PTV32K34RKGB",889.0,Via Magazine Luiza,,Smart TV
15,LG,"Smart TV OLED Evo 48"" LG 4K HDR OLED48C6PSA",5851.05,Via Loja Online LG,,Smart TV
16,Samsung,"Smart TV OLED 55"" Samsung 4K S85F",6031.55,Via Magazine Luiza,,Smart TV
17,TCL,"Smart TV QLED 65"" TCL 4K P7K",3568.7,Via Amazon,,Smart TV
